Selected (Yes/No),Who,ID,Tool Name,Link,Awesome,Stars,Forks,Contributors,Used by,"Are Core architecture features supported? Core feature are: Agent definition, Orchestration platform/models, Memory/Knowledge, Tool usage","is the definition/usage of heterogeneous agents supported? (i.e., the system allows to define custom agent or using agent with different architecture, even different from LLMs, e.g. AI models, transformers)",Do the system allow the specification of roles and/or behaviour for each single agents?,"Do the system allow the usage of external tool, e.g., external services, API, custom user functions?","Do the system provide remote access to the models, i.e. user can interact using provided API/Interface?","Do the system provide specific features/metrics/capabilities to evaluate qualitative aspects of agents? (Examples: energy consumption, best accuracy for a given task, hallucination)","Do the system allow human-in-the-loop integration? (Examples:dedicated functions, methods)","Do the system allow the comparison of agents? (e.g. run-time, comparison of answers/generated content)","Do the sytem allows the usage of notable datasets/benchmark for evaluating agents (e.g. CodeXGlue, HumanEval)?","Do the system provide discovery capabilities for selecting AI agents (es. selecting agets for a specific task, hardware requirements)?",License,"Notes:some comments on the platform e.g., usability, issues in running"
Yes,Mariama,11,Dify,Github Page,Yes,"114,434","17,583",993,0,Provided,Provided,Provided,Provided,Provided,Not Provided,Provided,Provided,Provided,Provided,Apache 2.0,"It seems easy to use because its configuration is done through the dashboard. It is a good tool for those without coding experience. Additionally, it is well documented"
,Mariama,12,AutoGPT,Github Page,Yes,"178,575","45,971",781,1,Provided,Provided,Provided,Provided,Provided,Not Provided,Not Provided,Not Provided,Not Provided,Provided,MIT ,"The documentation is somewhat confusing, and I still don't understand how it accommodates multiple agents simultaneously."
,Mariama,13,SuperAGI,Github Page,Yes,"16,726","2,076",67,0,Partially provided,Provided,Provided,Provided,Provided,Not Provided,Not Provided,Provided,Not Provided,Provided,MIT ,"Setting up the cloud with GitHub is quite straightforward. The documentation was easy to follow; however, it lacked clarity on the multi-agent aspect."
,Claudio,14,Haystack,https://github.com/deepset-ai/haystack,Yes,"22,673","2,385",309,"1,181",Provided,Provided,Provided,Provided,Provided,Provided,Not Provided,Provided,Partially provided,Not Provided,Apache 2.0,Very good tool with evaluation capabilities
,Claudio,15,Flowise,Github Page,Yes,"43,786","22,367",256,0,Provided,Provided,Provided,Provided,Provided,Provided,Not Provided,Partially provided,Not Provided,Provided,Apache 2.0,Apa
,Claudio,16,Smolagents,https://github.com/huggingface/smolagents,,"22,903","2,004",183,0,Provided,Provided,Provided,Provided,Provided,Provided,Not Provided,Partially provided,Not Provided,Not Provided,Apache 2.0,
,Claudio,17,Amazon Bedrock,AWS Page,No,N.A,N.A.,,,Provided,Provided,Provided,Provided,Provided,Provided,Not Provided,Partially provided,Not Provided,Provided,N.A.,It require access at AWS services
,,18,Camel,https://github.com/camel-ai/camel,,"11,100","1,100",,,Provided,Provided,Provided,Provided,Provided,Not Provided,Not Provided,Not Provided,Provided,Not Provided,Apache 2.0,
,,19,ix,https://github.com/kreneskyp/ix,,"1,000",127,,,Provided,Provided,Provided,Provided,Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Open source,
,,20,Legion AI,https://github.com/eumemic/ai-legion,,"1,400",165,,,,,,,,,,,,,,
