Included (Y/N),Type,Title,Rationale
N,Gray,A Survey on Large Language Model-based Agents for Statistics and Data Science,Excluded because it is domain-specific to statistics and data science agents rather than general MAS functionalities.
N,Gray,"A Survey on Context-Aware Multi-Agent Systems: Techniques, Challenges and Future Directions",Excluded because it focuses on context-aware MAS broadly and is not centered on LLM-based MAS.
N,Gray,"A Comprehensive Survey on Multi-Agent Cooperative Decision-Making: Scenarios, Approaches, Challenges and Perspectives","Excluded because it focuses mainly on cooperative decision-making and MARL, with LLMs only as one category rather than the core subject."
Y,Gray,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,"Included because it surveys trustworthiness issues in LLM-based agents and MAS, including memory, tools, user interaction, agent interaction, and evaluation aspects."
N,Gray,Multi-Agent Autonomous Driving Systems with Large Language Models: A Survey of Recent Advances,Excluded because it is domain-specific to autonomous driving systems rather than general MAS foundational concepts.
N,Gray,Multi-Agent Coordination across Diverse Applications: A Survey,Excluded because it surveys coordination across broad MAS applications and is not specifically focused on LLM-based MAS.
Y,Gray,Beyond Self-Talk: A Communication-Centric Survey of LLM-Based Multi-Agent Systems,"Included because it directly surveys LLM-based MAS from a communication-centric perspective, covering architecture, communication strategies, scalability, and security."
N,Gray,AGENTIC RETRIEVAL-AUGMENTED GENERATION: A SURVEY ON AGENTIC RAG,Excluded because it focuses on Agentic RAG systems rather than MAS frameworks or general MAS foundational concepts.
N,White,ReDel: A Toolkit for LLM-Powered Recursive Multi-Agent Systems,"Excluded because it proposes a specific toolkit rather than providing a survey, review, or systematic study."
N,White,Generation of Scientific Literature Surveys Based on Large Language Models (LLM) and Multi-Agent Systems (MAS),Excluded because it proposes a specific system for automatic literature-review generation rather than surveying MAS concepts.
N,White,Enhancing geodatabases operability: advanced human-computer interaction through RAG and multi-agent systems,Excluded because it proposes a domain-specific geospatial database solution rather than a systematic MAS study.
N,White,Leveraging Multi-Agent Systems and Large Language Models for Diabetes Knowledge Graphs,Excluded because it proposes a domain-specific healthcare knowledge-graph framework rather than surveying MAS concepts.
N,White,Multi-Agent Reasoning with Large Language Models for Effective Corporate Planning,Excluded because it applies LLM-based MAS to a business planning case and does not provide a systematic review or foundational MAS analysis.
N,White,When Embodied AI Meets Industry 5.0: Human-Centered Smart Manufacturing,Excluded because it focuses on embodied AI and Industry 5.0 rather than LLM-based MAS frameworks.
N,White,Collective predictive coding hypothesis: symbol emergence as decentralized Bayesian inference,Excluded because it is not focused on LLM-based MAS or software-engineering-oriented foundational concepts.
N,White,LLM-based Multi-Agent Decision-Making: Challenges and Future Directions,Excluded because it is a short letter focused on decision-making rather than a comprehensive systematic review of MAS functionalities.
N,White,An Electoral Approach to Diversify LLM-based Multi-Agent Collective Decision-Making,Excluded because it proposes a specific decision-making mechanism rather than surveying MAS foundational concepts.
N,White,UnrealMentor GPT: A System for Teaching Programming Based on a Large Language Model,Excluded because it presents a specific educational system and does not provide a survey or systematic MAS analysis.
Y,White,Large Language Model based Multi-Agents: A Survey of Progress and Challenges,"Included because it is a high-quality survey focused on LLM-based multi-agent systems and their progress, challenges, datasets, and benchmarks."
N,Gray,LLMs Working in Harmony: A Survey on the Technological Aspects of Building Effective LLM-Based Multi Agent Systems,Excluded because it falls outside the selected time window.
N,Gray,A Survey on Trustworthy LLM Agents: Threats and Countermeasures,Excluded as duplicate/outside selected time window in this record.
N,Gray,VizTrust: A Visual Analytics Tool for Capturing User Trust Dynamics in Human-AI Communication,Excluded because it proposes a specific visual analytics tool rather than a survey of MAS functionalities.
N,Gray,Multi-Agent Autonomous Driving Systems with Large Language Models: A Survey of Recent Advances,Excluded because it is domain-specific to autonomous driving and falls outside the selected time window.
N,Gray,Multi-Agent Coordination across Diverse Applications: A Survey,Excluded because it is broader than LLM-based MAS and falls outside the selected time window.
N,Gray,Beyond Self-Talk: A Communication-Centric Survey of LLM-Based Multi-Agent Systems,Excluded as duplicate/outside selected time window in this record.
N,Gray,Perovskite-LLM: Knowledge-Enhanced Large Language Models for Perovskite Solar Cell Research,Excluded because it is domain-specific to materials science and proposes a system rather than surveying MAS concepts.
N,Gray,A Survey on LLM-powered Agents for Recommender Systems,Excluded because it is domain-specific to recommender systems rather than general LLM-based MAS.
N,Gray,Large Language Models for Multi-Robot Systems: A Survey,Excluded because it focuses on multi-robot systems rather than general LLM-based MAS frameworks.
N,Gray,"A Comprehensive Survey on Multi-Agent Cooperative Decision-Making: Scenarios, Approaches, Challenges and Perspectives","Excluded because it is mainly focused on cooperative decision-making and MARL, with LLMs only partially covered."
N,Gray,AGENTIC RETRIEVAL-AUGMENTED GENERATION: A SURVEY ON AGENTIC RAG,Excluded because it focuses on Agentic RAG rather than MAS frameworks or foundational MAS functionalities.
N,Gray,Multi-Agent Collaboration Mechanisms: A Survey of LLMs,Excluded because it falls outside the selected time window.
N,Gray,LatteReview: A Multi-Agent Framework for Systematic Review Automation Using Large Language Models,Excluded because it proposes a specific framework/tool rather than surveying MAS concepts.
N,Gray,A Survey on LLM-based Multi-Agent System: Recent Advances and New Frontiers in Application,Excluded because it falls outside the selected time window.
N,Gray,A Survey on Large Language Model-based Agents for Statistics and Data Science,Excluded because it is domain-specific to statistics and data science rather than general MAS foundations.
N,Gray,AIGS: GENERATING SCIENCE FROM AI-POWERED AUTOMATED FALSIFICATION,Excluded because it proposes an autonomous scientific-discovery system rather than a survey or systematic review of MAS functionalities.
