ROUGE-1,ROUGE-2,ROUGE-L,Tool
0.1935483871,0.06896551724,0.1290322581,Metagente
0.75,0.4545454545,0.5833333333,Metagente
0.5714285714,0.3333333333,0.5714285714,Metagente
0.5454545455,0.4444444444,0.5454545455,Metagente
0.2222222222,0.0,0.2222222222,Metagente
0.07407407407,0.0,0.07407407407,Metagente
0.8571428571,0.8,0.8571428571,Metagente
0.2142857143,0.0,0.2142857143,Metagente
0.2727272727,0.1,0.2727272727,Metagente
0.32,0.0,0.16,Metagente
1.0,1.0,1.0,Metagente
1.0,1.0,1.0,Metagente
0.2105263158,0.0,0.1052631579,Metagente
0.2424242424,0.06451612903,0.2424242424,Metagente
0.3125,0.1333333333,0.25,Metagente
0.5806451613,0.275862069,0.5161290323,Metagente
0.9333333333,0.9230769231,0.9333333333,Metagente
0.4210526316,0.1176470588,0.3157894737,Metagente
0.4166666667,0.09090909091,0.3333333333,Metagente
0.5454545455,0.4,0.5454545455,Metagente
0.1052631579,0.0,0.1052631579,Metagente
0.4242424242,0.2580645161,0.3636363636,Metagente
0.1785714286,0.05454545455,0.1428571429,Metagente
0.9230769231,0.9090909091,0.9230769231,Metagente
1.0,1.0,1.0,Metagente
0.5294117647,0.4375,0.5294117647,Metagente
0.4347826087,0.380952381,0.4347826087,Metagente
0.9090909091,0.8888888889,0.9090909091,Metagente
0.9333333333,0.9230769231,0.9333333333,Metagente
1.0,1.0,1.0,Metagente
0.2285714286,0.0,0.1142857143,Metagente
0.3333333333,0.0,0.1666666667,Metagente
0.2307692308,0.0,0.2307692308,Metagente
0.9142857143,0.8484848485,0.9142857143,Metagente
0.2857142857,0.1666666667,0.2857142857,Metagente
0.2666666667,0.0,0.1333333333,Metagente
1.0,1.0,1.0,Metagente
0.1666666667,0.05882352941,0.1666666667,Metagente
0.8333333333,0.4,0.3333333333,Metagente
0.4285714286,0.1666666667,0.2857142857,Metagente
1.0,1.0,1.0,Metagente
0.7826086957,0.6666666667,0.7826086957,Metagente
0.4444444444,0.125,0.3333333333,Metagente
0.4571428571,0.06060606061,0.2285714286,Metagente
0.5,0.2727272727,0.5,Metagente
0.2352941176,0.1333333333,0.2352941176,Metagente
0.6206896552,0.5185185185,0.5517241379,Metagente
0.4,0.2222222222,0.3,Metagente
0.7692307692,0.5833333333,0.7692307692,Metagente
0.625,0.5714285714,0.625,Metagente
0.3,0.1052631579,0.2,Metagente
0.5517241379,0.3703703704,0.5517241379,Metagente
0.1538461538,0.0,0.1538461538,Metagente
0.125,0.06666666667,0.125,Metagente
0.380952381,0.1052631579,0.2857142857,Metagente
0.5714285714,0.5,0.5714285714,Metagente
0.4615384615,0.1818181818,0.4615384615,Metagente
0.09523809524,0.0,0.09523809524,Metagente
0.4705882353,0.2666666667,0.4705882353,Metagente
1.0,1.0,1.0,Metagente
0.962962963,0.88,0.962962963,Metagente
0.8571428571,0.7368421053,0.8571428571,Metagente
0.8888888889,0.875,0.8888888889,Metagente
0.6666666667,0.5714285714,0.6666666667,Metagente
0.2222222222,0.16,0.2222222222,Metagente
0.3043478261,0.09090909091,0.1739130435,Metagente
0.5454545455,0.4516129032,0.5454545455,Metagente
0.8,0.5714285714,0.7333333333,Metagente
0.875,0.8571428571,0.875,Metagente
0.2352941176,0.1333333333,0.2352941176,Metagente
0.25,0.0,0.1666666667,Metagente
0.24,0.08695652174,0.24,Metagente
1.0,1.0,1.0,Metagente
0.3157894737,0.0,0.1052631579,Metagente
0.2941176471,0.1875,0.2352941176,Metagente
0.3428571429,0.0,0.2285714286,Metagente
0.9142857143,0.7878787879,0.9142857143,Metagente
0.0,0.0,0.0,Metagente
0.7333333333,0.5714285714,0.7333333333,Metagente
0.4242424242,0.1935483871,0.303030303,Metagente
0.3125,0.1333333333,0.25,Metagente
0.25,0.0,0.125,Metagente
0.3783783784,0.1142857143,0.2702702703,Metagente
1.0,1.0,1.0,Metagente
0.2857142857,0.07692307692,0.2142857143,Metagente
0.3333333333,0.125,0.3333333333,Metagente
0.5517241379,0.07407407407,0.275862069,Metagente
0.2285714286,0.1212121212,0.2285714286,Metagente
0.875,0.8571428571,0.875,Metagente
1.0,0.6666666667,0.9,Metagente
0.3561643836,0.1408450704,0.2465753425,Metagente
0.2580645161,0.06896551724,0.1290322581,Metagente
0.1428571429,0.07692307692,0.1428571429,Metagente
0.5833333333,0.5454545455,0.5833333333,Metagente
0.8648648649,0.5714285714,0.5945945946,Metagente
0.6666666667,0.6315789474,0.6666666667,Metagente
0.56,0.4347826087,0.48,Metagente
0.2264150943,0.1568627451,0.2264150943,Metagente
0.15625,0.03225806452,0.125,Metagente
0.1212121212,0.06451612903,0.1212121212,Metagente
0.3157894737,0.1666666667,0.2631578947,Metagente
1.0,1.0,1.0,Metagente
0.3636363636,0.2,0.3636363636,Metagente
1.0,1.0,1.0,Metagente
0.9230769231,0.9166666667,0.9230769231,Metagente
0.9411764706,0.9333333333,0.9411764706,Metagente
0.5,0.2222222222,0.4,Metagente
0.09090909091,0.0,0.09090909091,Metagente
0.8235294118,0.8,0.8235294118,Metagente
0.6153846154,0.3636363636,0.6153846154,Metagente
0.6363636364,0.5,0.6363636364,Metagente
0.8,0.7777777778,0.8,Metagente
0.3137254902,0.04081632653,0.2352941176,Metagente
0.2962962963,0.08,0.2962962963,Metagente
0.6086956522,0.3636363636,0.5652173913,Metagente
1.0,1.0,1.0,Metagente
0.1739130435,0.04545454545,0.1739130435,Metagente
0.9230769231,0.9166666667,0.9230769231,Metagente
1.0,1.0,1.0,Metagente
0.2,0.0,0.2,Metagente
0.3076923077,0.0,0.1538461538,Metagente
0.275862069,0.07407407407,0.2068965517,Metagente
0.5714285714,0.4,0.5714285714,Metagente
0.8484848485,0.7096774194,0.8484848485,Metagente
0.4166666667,0.09090909091,0.4166666667,Metagente
0.2666666667,0.09302325581,0.2222222222,Metagente
0.8421052632,0.8235294118,0.8421052632,Metagente
0.8888888889,0.8571428571,0.8888888889,Metagente
0.3,0.1111111111,0.3,Metagente
0.5,0.3333333333,0.4,Metagente
0.6785714286,0.6296296296,0.6428571429,Metagente
0.1818181818,0.1,0.1818181818,Metagente
0.2857142857,0.2105263158,0.2857142857,Metagente
0.4285714286,0.4,0.4285714286,Metagente
0.5,0.3076923077,0.5,Metagente
0.0,0.0,0.0,Metagente
0.5454545455,0.1935483871,0.4848484848,Metagente
1.0,1.0,1.0,Metagente
0.2727272727,0.2,0.2727272727,Metagente
0.380952381,0.3157894737,0.380952381,Metagente
0.7058823529,0.4,0.5882352941,Metagente
1.0,1.0,1.0,Metagente
0.2352941176,0.0625,0.2352941176,Metagente
0.5384615385,0.5,0.5384615385,Metagente
0.7777777778,0.75,0.7777777778,Metagente
0.2105263158,0.1176470588,0.2105263158,Metagente
0.3243243243,0.1142857143,0.2702702703,Metagente
0.1176470588,0.0,0.1176470588,Metagente
0.1935483871,0.06896551724,0.1935483871,Metagente
0.4166666667,0.09090909091,0.4166666667,Metagente
0.4210526316,0.2222222222,0.3684210526,Metagente
1.0,1.0,1.0,Metagente
0.5714285714,0.3333333333,0.5714285714,Metagente
0.3157894737,0.2352941176,0.3157894737,Metagente
0.375,0.2857142857,0.375,Metagente
0.4375,0.2666666667,0.375,Metagente
0.2608695652,0.09523809524,0.2608695652,Metagente
1.0,1.0,1.0,Metagente
0.0,0.0,0.0,Metagente
1.0,1.0,1.0,Metagente
0.3333333333,0.0,0.25,Metagente
0.25,0.1052631579,0.2,Metagente
0.25,0.0,0.25,Metagente
1.0,1.0,1.0,Metagente
0.9523809524,0.9473684211,0.9523809524,Metagente
0.4615384615,0.4324324324,0.4615384615,Metagente
0.32,0.1739130435,0.32,Metagente
0.380952381,0.3157894737,0.380952381,Metagente
0.243902439,0.05128205128,0.1951219512,Metagente
0.9206349206,0.8852459016,0.9206349206,Metagente
0.5384615385,0.08333333333,0.3846153846,Metagente
0.7647058824,0.6875,0.7647058824,Metagente
1.0,1.0,1.0,Metagente
0.6666666667,0.375,0.6666666667,Metagente
0.8421052632,0.7058823529,0.7368421053,Metagente
1.0,1.0,1.0,Metagente
0.1333333333,0.0,0.1333333333,Metagente
1.0,1.0,1.0,Metagente
0.5555555556,0.375,0.5555555556,Metagente
0.2727272727,0.0,0.2727272727,Metagente
0.2068965517,0.0,0.2068965517,Metagente
0.32,0.08695652174,0.24,Metagente
0.6315789474,0.3529411765,0.6315789474,Metagente
0.5882352941,0.2666666667,0.3529411765,Metagente
0.7368421053,0.7058823529,0.7368421053,Metagente
0.3333333333,0.2,0.3333333333,Metagente
0.1428571429,0.0,0.1428571429,Metagente
0.2142857143,0.0,0.1428571429,Metagente
0.8888888889,0.88,0.8888888889,Metagente
0.9677419355,0.9655172414,0.9677419355,Metagente
1.0,1.0,1.0,Metagente
1.0,0.4,0.6666666667,Metagente
0.7647058824,0.6875,0.7647058824,Metagente
1.0,1.0,1.0,Metagente
0.3333333333,0.125,0.2222222222,Metagente
0.6666666667,0.4,0.6666666667,Metagente
0.4,0.2608695652,0.4,Metagente
0.7777777778,0.625,0.7777777778,Metagente
0.2352941176,0.0,0.2352941176,Metagente
0.5,0.2727272727,0.3333333333,Metagente
0.5555555556,0.0,0.3333333333,Metagente
0.2105263158,0.0,0.1052631579,Metagente
0.3255813953,0.1463414634,0.3255813953,Metagente
0.2,0.0,0.2,Metagente
0.8947368421,0.8333333333,0.8947368421,Metagente
0.1538461538,0.0,0.1538461538,Metagente
1.0,1.0,1.0,Metagente
1.0,1.0,1.0,Metagente
0.48,0.2608695652,0.4,Metagente
1.0,1.0,1.0,Metagente
0.3111111111,0.2325581395,0.3111111111,Metagente
0.3846153846,0.08,0.2307692308,Metagente
0.962962963,0.96,0.962962963,Metagente
0.5333333333,0.2857142857,0.5333333333,Metagente
0.5,0.2,0.3333333333,Metagente
0.8695652174,0.7619047619,0.8695652174,Metagente
0.9523809524,0.9473684211,0.9523809524,Metagente
0.4285714286,0.3,0.4285714286,Metagente
0.4444444444,0.1764705882,0.3888888889,Metagente
0.1666666667,0.05882352941,0.1666666667,Metagente
0.8,0.6666666667,0.8,Metagente
0.2666666667,0.0,0.2,Metagente
0.0,0.0,0.0,Metagente
0.4347826087,0.09523809524,0.4347826087,Metagente
0.5833333333,0.2727272727,0.5,Metagente
0.1875,0.0,0.1875,Metagente
0.4444444444,0.0,0.2222222222,Metagente
0.3076923077,0.0,0.3076923077,Metagente
0.2,0.0,0.1333333333,Metagente
0.8947368421,0.8333333333,0.8947368421,Metagente
1.0,1.0,1.0,Metagente
1.0,1.0,1.0,Metagente
0.3,0.1111111111,0.2,Metagente
0.09302325581,0.0,0.04651162791,Metagente
0.09523809524,0.0,0.09523809524,Metagente
1.0,1.0,1.0,Metagente
0.9565217391,0.8571428571,0.9565217391,Metagente
0.48,0.08695652174,0.32,Metagente
0.25,0.0,0.25,Metagente
0.5714285714,0.2307692308,0.4285714286,Metagente
0.1333333333,0.0,0.1333333333,Metagente
0.5555555556,0.375,0.5555555556,Metagente
0.5882352941,0.5333333333,0.5882352941,Metagente
0.2142857143,0.0,0.1428571429,Metagente
0.9090909091,0.6666666667,0.9090909091,Metagente
0.4761904762,0.4210526316,0.4761904762,Metagente
0.4615384615,0.3333333333,0.3846153846,Metagente
0.303030303,0.1290322581,0.303030303,Metagente
0.3076923077,0.1818181818,0.3076923077,Metagente
0.9230769231,0.7272727273,0.9230769231,Metagente
0.4,0.2083333333,0.4,Metagente
0.7692307692,0.7027027027,0.7692307692,Metagente
0.1515151515,0.0625,0.1212121212,Metagente
0.2352941176,0.0,0.1176470588,Metagente
0.25,0.0,0.25,Metagente
0.3076923077,0.25,0.3076923077,Metagente
0.4285714286,0.1666666667,0.2857142857,Metagente
0.8148148148,0.72,0.8148148148,Metagente
0.5454545455,0.4444444444,0.5454545455,Metagente
0.5238095238,0.15,0.4285714286,Metagente
0.4444444444,0.24,0.4444444444,Metagente
1.0,1.0,1.0,Metagente
1.0,1.0,1.0,Metagente
0.5185185185,0.16,0.5185185185,Metagente
0.5454545455,0.2222222222,0.5454545455,Metagente
0.3636363636,0.09375,0.2424242424,Metagente
0.375,0.1428571429,0.25,Metagente
0.2727272727,0.0,0.09090909091,Metagente
1.0,1.0,1.0,Metagente
0.4761904762,0.2105263158,0.380952381,Metagente
0.5185185185,0.24,0.3703703704,Metagente
0.1052631579,0.0,0.1052631579,Metagente
0.4117647059,0.3125,0.4117647059,Metagente
0.7692307692,0.1818181818,0.6153846154,Metagente
0.347826087,0.2857142857,0.347826087,Metagente
0.75,0.3333333333,0.75,Metagente
0.9375,0.8666666667,0.9375,Metagente
0.3636363636,0.0,0.2727272727,Metagente
0.4705882353,0.4,0.4705882353,Metagente
0.5,0.07692307692,0.2857142857,Metagente
0.1951219512,0.05128205128,0.1463414634,Metagente
0.5,0.4545454545,0.5,Metagente
0.3157894737,0.0,0.3157894737,Metagente
0.6,0.25,0.4,Metagente
0.8888888889,0.8,0.8888888889,Metagente
0.5,0.0,0.2,Metagente
0.3555555556,0.1395348837,0.3111111111,Metagente
0.6428571429,0.6153846154,0.6428571429,Metagente
1.0,1.0,1.0,Metagente
1.0,1.0,1.0,Metagente
0.4074074074,0.07692307692,0.2222222222,Metagente
0.1176470588,0.0,0.1176470588,Metagente
0.4615384615,0.1818181818,0.4615384615,Metagente
0.3529411765,0.0,0.3529411765,Metagente
0.09523809524,0.0,0.09523809524,Metagente
0.8571428571,0.8333333333,0.8571428571,Metagente
0.3,0.0,0.3,Metagente
0.9361702128,0.8888888889,0.9361702128,Metagente
0.8,0.4615384615,0.5333333333,Metagente
0.4489795918,0.2553191489,0.2448979592,Metagente
0.9333333333,0.7692307692,0.9333333333,Metagente
0.4583333333,0.3913043478,0.4166666667,Metagente
0.4545454545,0.3,0.3636363636,Metagente
0.4137931034,0.2962962963,0.3448275862,Metagente
0.2307692308,0.0,0.1538461538,Metagente
0.1428571429,0.0,0.1428571429,Metagente
0.7619047619,0.6315789474,0.7619047619,Metagente
0.8235294118,0.625,0.8235294118,Metagente
0.2,0.0,0.2,Metagente
0.4776119403,0.1230769231,0.2985074627,Metagente
0.0,0.0,0.0,Metagente
1.0,1.0,1.0,Metagente
1.0,1.0,1.0,Metagente
0.5862068966,0.5714285714,0.5862068966,Metagente
0.3846153846,0.3333333333,0.3846153846,Metagente
0.8,0.75,0.8,Metagente
0.1176470588,0.0,0.1176470588,Metagente
0.3703703704,0.24,0.3703703704,Metagente
0.4444444444,0.25,0.3333333333,Metagente
0.4210526316,0.0,0.4210526316,Metagente
0.6,0.4210526316,0.5,Metagente
0.48,0.125,0.36,Metagente
0.2,0.07142857143,0.2,Metagente
0.1428571429,0.0,0.1428571429,Metagente
0.5,0.2,0.5,Metagente
0.9090909091,0.4444444444,0.7272727273,Metagente
0.8,0.5,0.8,Metagente
0.8571428571,0.6666666667,0.8571428571,Metagente
0.6206896552,0.5925925926,0.6206896552,Metagente
0.9230769231,0.9090909091,0.9230769231,Metagente
1.0,1.0,1.0,Metagente
0.0,0.0,0.0,Metagente
1.0,1.0,1.0,Metagente
0.2857142857,0.06060606061,0.2857142857,Metagente
0.3870967742,0.3448275862,0.3870967742,Metagente
0.4390243902,0.1538461538,0.3414634146,Metagente
0.2790697674,0.09756097561,0.1860465116,Metagente
0.4347826087,0.09523809524,0.347826087,Metagente
0.9230769231,0.8333333333,0.9230769231,Metagente
0.5714285714,0.3636363636,0.5714285714,Metagente
0.962962963,0.88,0.962962963,Metagente
0.347826087,0.09523809524,0.347826087,Metagente
0.6956521739,0.6666666667,0.6956521739,Metagente
1.0,1.0,1.0,Metagente
0.08333333333,0.0,0.08333333333,Metagente
0.9310344828,0.75,0.8620689655,Metagente
0.6666666667,0.4324324324,0.6153846154,Metagente
1.0,1.0,1.0,Metagente
0.4347826087,0.2857142857,0.4347826087,Metagente
0.5,0.0,0.25,Metagente
0.07692307692,0.0,0.07692307692,Metagente
0.09523809524,0.0,0.09523809524,Metagente
0.375,0.08695652174,0.2916666667,Metagente
0.4,0.2222222222,0.4,Metagente
0.3529411765,0.0625,0.2352941176,Metagente
0.625,0.4666666667,0.625,Metagente
0.3703703704,0.16,0.2962962963,Metagente
0.9142857143,0.9090909091,0.9142857143,Metagente
0.9565217391,0.8571428571,0.9565217391,Metagente
0.8888888889,0.75,0.8888888889,Metagente
0.8333333333,0.8,0.8333333333,Metagente
0.4444444444,0.25,0.4444444444,Metagente
0.1428571429,0.0,0.09523809524,Metagente
0.32,0.1739130435,0.32,Metagente
0.6153846154,0.3636363636,0.6153846154,Metagente
0.4285714286,0.3333333333,0.4285714286,Metagente
0.6153846154,0.1818181818,0.4615384615,Metagente
0.1176470588,0.0,0.1176470588,Metagente
0.8275862069,0.8148148148,0.8275862069,Metagente
0.347826087,0.1818181818,0.347826087,Metagente
1.0,1.0,1.0,Metagente
0.6206896552,0.5925925926,0.6206896552,Metagente
0.8461538462,0.8333333333,0.8461538462,Metagente
0.2711864407,0.2105263158,0.2711864407,Metagente
0.2702702703,0.05714285714,0.2162162162,Metagente
0.2608695652,0.0,0.2608695652,Metagente
0.8181818182,0.8,0.8181818182,Metagente
0.1818181818,0.1,0.1818181818,Metagente
1.0,1.0,1.0,Metagente
0.4705882353,0.1875,0.4117647059,Metagente
0.5555555556,0.3529411765,0.5555555556,Metagente
0.4324324324,0.1714285714,0.4324324324,Metagente
0.8571428571,0.5263157895,0.7619047619,Metagente
0.2666666667,0.1538461538,0.2666666667,Metagente
1.0,1.0,1.0,Metagente
0.4545454545,0.3,0.4545454545,Metagente
0.32,0.1739130435,0.24,Metagente
0.75,0.7142857143,0.75,Metagente
0.3529411765,0.1333333333,0.3529411765,Metagente
0.7142857143,0.4074074074,0.6428571429,Metagente
0.7407407407,0.64,0.7407407407,Metagente
0.4444444444,0.2941176471,0.4444444444,Metagente
0.1428571429,0.0,0.1428571429,Metagente
0.9230769231,0.9090909091,0.9230769231,Metagente
0.375,0.0,0.25,Metagente
0.4,0.06060606061,0.2857142857,Metagente
0.2608695652,0.0,0.1739130435,Metagente
0.8181818182,0.4,0.7272727273,Metagente
0.8292682927,0.8205128205,0.8292682927,Metagente
0.1333333333,0.0,0.1333333333,Metagente
1.0,1.0,1.0,Metagente
0.4571428571,0.0,0.3428571429,Metagente
0.4571428571,0.4242424242,0.4571428571,Metagente
0.4444444444,0.2352941176,0.4444444444,Metagente
0.3333333333,0.2727272727,0.3333333333,Metagente
0.3673469388,0.170212766,0.2857142857,Metagente
0.1935483871,0.1379310345,0.1935483871,Metagente
0.3636363636,0.2,0.3636363636,Metagente
0.4545454545,0.2,0.3636363636,Metagente
0.3448275862,0.2222222222,0.2068965517,Metagente
0.3076923077,0.2222222222,0.2769230769,Metagente
0.4615384615,0.1666666667,0.3846153846,Metagente
0.5405405405,0.5142857143,0.5405405405,Metagente
0.125,0.0,0.125,Metagente
0.9285714286,0.8461538462,0.9285714286,Metagente
0.4,0.1739130435,0.4,Metagente
0.612244898,0.4680851064,0.4489795918,Metagente
0.4615384615,0.3636363636,0.4615384615,Metagente
0.4571428571,0.1212121212,0.3428571429,Metagente
0.5,0.09090909091,0.3333333333,Metagente
0.2580645161,0.06896551724,0.1935483871,Metagente
0.2608695652,0.0,0.1739130435,Metagente
1.0,1.0,1.0,Metagente
0.3333333333,0.1176470588,0.2222222222,Metagente
0.5,0.2,0.5,Metagente
0.3333333333,0.125,0.3333333333,Metagente
0.2727272727,0.0,0.1818181818,Metagente
0.9411764706,0.875,0.9411764706,Metagente
0.4444444444,0.16,0.3703703704,Metagente
0.7741935484,0.7586206897,0.7741935484,Metagente
0.25,0.09090909091,0.1666666667,Metagente
0.7692307692,0.5833333333,0.6153846154,Metagente
0.8571428571,0.8333333333,0.8571428571,Metagente
0.7142857143,0.5,0.7142857143,Metagente
1.0,1.0,1.0,Metagente
0.8421052632,0.8235294118,0.8421052632,Metagente
0.5,0.4444444444,0.5,Metagente
0.6666666667,0.5714285714,0.6666666667,Metagente
1.0,1.0,1.0,Metagente
0.8,0.6956521739,0.8,Metagente
0.6153846154,0.4166666667,0.6153846154,Metagente
0.575,0.3076923077,0.525,Metagente
0.1111111111,0.0,0.1111111111,Metagente
0.5714285714,0.2105263158,0.4761904762,Metagente
0.2105263158,0.0,0.2105263158,Metagente
0.2777777778,0.1176470588,0.2222222222,Metagente
1.0,1.0,1.0,Metagente
0.5714285714,0.0,0.5714285714,Metagente
0.2608695652,0.09523809524,0.2608695652,Metagente
0.25,0.1428571429,0.25,Metagente
0.5833333333,0.4545454545,0.5833333333,Metagente
0.125,0.04347826087,0.08333333333,Metagente
0.65,0.2105263158,0.5,Metagente
1.0,1.0,1.0,Metagente
1.0,1.0,1.0,Metagente
